  i  Z(km)      P(bar)      T(K)  
 93 1.9468E+05 1.4899E+06 2.5607E+02
 94 1.6776E+05 1.6008E+06 2.6058E+02
 95 1.4107E+05 1.7168E+06 2.6485E+02
 96 1.1465E+05 1.8380E+06 2.6886E+02
 97 8.8540E+04 1.9643E+06 2.7277E+02
 98 6.2776E+04 2.0954E+06 2.7658E+02
 99 3.7389E+04 2.2314E+06 2.8016E+02
100 1.2415E+04 2.3720E+06 2.8359E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 2.1080E-06 3.2925E-06
  2 0.0000E+00 2.1080E-06 3.2925E-06
  3 0.0000E+00 2.1080E-06 3.2925E-06
  4 0.0000E+00 2.1080E-06 3.2925E-06
  5 0.0000E+00 2.1080E-06 3.2925E-06
  6 0.0000E+00 2.1080E-06 3.2925E-06
  7 0.0000E+00 2.1080E-06 3.2925E-06
